Palavra,Frequência
succeeded,207
all”,207
rooms,206
unable,206
beauty,206
showed,206
ah,205
fit,205
kirillov,205
liputin,205
save,204
bear,204
man’s,203
tone,203
beyond,203
directly,203
walk,202
news,202
view,201
admit,201
unhappy,201
cut,201
spirit,200
peasant,200
worse,200
changed,200
seat,199
wrong,199
assure,199
fine,199
believed,199
small,198
fully,198
repeat,198
dreams,198
moreover,197
hair,197
whatever,197
waited,196
fixed,196
“so,196
eight,195
running,195
cross,195
ground,195
terror,194
meanwhile,194
strong,194
clever,193
giving,193
visitor,193
excited,193
seven,192
glass,192
low,191
neither,191
servant,191
thank,191
dinner,191
acquaintance,190
company,190
uttered,190
returned,190
knowing,190
declared,189
condition,189
finished,189
notes,188
early,188
except,188
interrupted,188
form,186
started,186
quiet,186
pleasure,186
twice,186
german,186
seized,186
foot,186
“in,186
remain,185
entered,185
glance,185
fate,184
promised,184
french,184
learned,184
figure,184
likely,184
pride,184
nikolaevna,184
interesting,183
anger,183
serious,183
week,182
strength,182
flew,182
ordynov,182
sound,181
aloud,181
expecting,181
hurriedly,181
greatly,180
simple,180
dropped,180
andreyevna,180
youth,179
age,179
weak,179
lies,179
presence,179
dignity,179
apparently,179
fifteen,178
awful,178
“there,178
relations,177
somewhere,177
flat,177
sign,176
spot,176
ended,176
“is,175
judge,174
water,174
school,174
“i’ve,174
circumstances,173
arm,173
wasn’t,173
grigory,173
rakitin,173
covered,172
entirely,172
cause,172
‘i,172
police,172
marriage,172
effect,172
jumped,171
he’ll,171
terribly,170
broken,170
pulled,170
killed,170
evidence,170
expressed,169
human,169
bread,169
mad,169
bit,169
“she,169
know”,168
her”,168
“we,167
laid,167
drew,167
action,167
so”,167
health,166
settled,166
big,166
peculiar,166
unexpected,166
smiling,166
party,166
prosecutor,166
break,165
father’s,165
country,165
mother’s,165
burst,165
evil,165
amazement,165
excuse,165
threw,164
moral,164
we’ll,164
mihailovna,164
makes,163
confusion,163
scoundrel,163
grandmother,163
continually,162
passing,162
conscience,162
absurd,162
fault,161
usual,161
sum,161
indignation,161
prison,161
alexandra,161
karamazov,160
walking,160
garden,160
sorts,160
devil,160
“come,160
monastery,160
goodness,159
explanation,159
marya,159
consider,158
piece,158
meaning,158
master,158
girls,158
awfully,158
pretty,158
passage,157
greatest,157
wonder,157
deep,157
utmost,157
force,157
persons,157
prisoner,157
watch,156
guessed,156
stop,156
study,156
holding,155
lose,155
sick,155
flushed,155
capable,155
someone,155
expect,155
leaving,155
flung,155
wall,154
influence,154
regular,154
conclusion,154
number,154
middle,154
paid,153
affair,153
stairs,153
officer,153
antonovitch,153
noble,152
literary,152
merely,152
keeping,152
speech,152
apart,152
follow,152
not”,152
friendly,152
epanchin,152
describe,151
uneasy,151
horror,151
“then,151
“not,151
express,150
gazed,150
alarm,150
knowledge,150
spend,149
grown,149
across,149
facts,149
somewhat,149
you’d,149
honest,148
office,148
whisper,148
gloomy,147
goes,147
personal,147
